Date,NominalReturn_BCOMTR
5/15/2007,0.0054
5/16/2007,-0.0024
5/17/2007,0.0038
5/18/2007,-0.0012
5/21/2007,0.009
5/22/2007,-0.0168
5/23/2007,-0.0017
5/24/2007,-0.0064
5/25/2007,0.0111
5/29/2007,-0.0133
5/30/2007,0.008
5/31/2007,0.0075
6/1/2007,0.0076
6/4/2007,0.0088
6/5/2007,-0.0043
6/6/2007,-0.0062
6/7/2007,-0.0038
6/8/2007,-0.0188
6/11/2007,0.0144
6/12/2007,-0.0057
6/13/2007,0.0052
6/14/2007,0.0153
6/15/2007,0.0096
6/18/2007,-0.0022
6/19/2007,-0.0144
6/20/2007,0
6/21/2007,-0.0068
6/22/2007,-0.0087
6/25/2007,-0.0037
6/26/2007,-0.0102
6/27/2007,0.0025
6/28/2007,-0.002
6/29/2007,0.0063
7/2/2007,0.0048
7/3/2007,-0.0022
7/5/2007,0.0043
7/6/2007,0.0047
7/9/2007,0.0006
7/10/2007,0.0091
7/11/2007,-0.0001
7/12/2007,0.0013
7/13/2007,0.0059
7/16/2007,-0.0197
7/17/2007,-0.0076
7/18/2007,0.0178
7/19/2007,0.0084
7/20/2007,-0.0045
7/23/2007,-0.0189
7/24/2007,-0.0043
7/25/2007,0.0007
7/26/2007,-0.005
7/27/2007,0.0092
7/30/2007,0.0068
7/31/2007,0.0057
8/1/2007,-0.0094
8/2/2007,-0.0025
8/3/2007,-0.0046
8/6/2007,-0.0123
8/7/2007,0.0019
8/8/2007,0.0026
8/9/2007,-0.0045
8/10/2007,0.0005
8/13/2007,0.0032
8/14/2007,-0.002
8/15/2007,-0.0028
8/16/2007,-0.0338
8/17/2007,0.0157
8/20/2007,-0.0153
8/21/2007,-0.0039
8/22/2007,0.0055
8/23/2007,0.0073
8/24/2007,0.0078
8/27/2007,-0.0026
8/28/2007,-0.0027
8/29/2007,0.0055
8/30/2007,0.004
8/31/2007,0.0028
9/4/2007,0.0089
9/5/2007,-0.0007
9/6/2007,-0.0004
9/7/2007,0.0016
9/10/2007,0.0088
9/11/2007,0.0098
9/12/2007,0.0131
9/13/2007,-0.0043
9/14/2007,0.0034
9/17/2007,0.0129
9/18/2007,0.0033
9/19/2007,0.004
9/20/2007,0.0078
9/21/2007,0.0002
9/24/2007,0.0035
9/25/2007,-0.0063
9/26/2007,0.0039
9/27/2007,0.0131
9/28/2007,-0.0082
10/1/2007,-0.0009
10/2/2007,-0.009
10/3/2007,0.0006
10/4/2007,0.0035
10/5/2007,-0.0084
10/8/2007,-0.0205
10/9/2007,0.007
10/10/2007,0.0121
10/11/2007,0.0102
10/12/2007,-0.0016
10/15/2007,0.0115
10/16/2007,-0.0011
10/17/2007,-0.0015
10/18/2007,0.0091
10/19/2007,-0.006
10/22/2007,-0.0095
10/23/2007,-0.0041
10/24/2007,-0.0008
10/25/2007,0.0156
10/26/2007,0.0077
10/29/2007,0.0121
10/30/2007,-0.0129
10/31/2007,0.0172
11/1/2007,-0.0054
11/2/2007,0.0091
11/5/2007,-0.0104
11/6/2007,0.0145
11/7/2007,-0.0067
11/8/2007,-0.0006
11/9/2007,0.0053
11/12/2007,-0.0136
11/13/2007,-0.0099
