NominalReturn_BCOMTR,Long_Nominal_Returns,Short_Nominal_Returns,Close,SMA,Buy,L_Strategy_Return,L_Strategy_Balance,L_Strategy_Peak,L_Strategy_DD,L_momentum_signal,LS_Strategy_Return,LS_Strategy_Balance,LS_Strategy_Peak,LS_Strategy_DD,LS_momentum_signal,log_Strategy_Returns,expanding_volatility,momentum_z_score,normalized_momentum_z_score,absolute_normalized_momentum_z_score,Z_Long_Nominal_Returns,Z_Short_Nominal_Returns,Z_Strategy_Return,Z_Strategy_Balance,Z_Strategy_Peak,Z_Strategy_DD
0.0054,1.0054,0.9946,173.23,169.2319,True,1.0,100.0,100.0,0.0,1,0.9946,99.46000000000001,99.46000000000001,0.0,1,0.0,,,,,,,,,,
-0.0024,0.9976,1.0024,172.81,169.26649999999998,True,0.9976,99.76,100.0,-0.23999999999999488,1,0.9976,99.22129600000001,99.46000000000001,-0.23870399999999847,1,-0.002402884616310315,0.001699096006601859,2085.520762942005,0.35707209773124915,0.35707209773124915,,,,,,
0.0038,1.0038,0.9962,173.47,169.3098,True,1.0038,100.139088,100.139088,0.0,1,1.0038,99.59833692480001,99.59833692480001,0.0,1,0.0037927982386962624,0.0031237173100485236,1331.8106560466508,0.22802512084660034,0.22802512084660034,1.0013568739713787,0.9986431260286213,1.0013568739713787,100.13568739713787,100.13568739713787,0.0
-0.0012,0.9988,1.0012,173.27,169.3581,True,0.9988,100.0189210944,100.139088,-0.12016690560000143,1,0.9988,99.47881892049024,99.59833692480001,-0.11951800430976789,1,-0.001200720576518877,0.002682781787590569,1458.1506472478763,0.24965650640849638,0.24965650640849638,0.9997263698549841,1.000273630145016,0.9997263698549841,100.10828725447413,100.13568739713787,-0.027400142663736915
0.009,1.009,0.991,174.82,169.40873333333332,True,1.009,100.9190913842496,100.9190913842496,0.0,1,1.009,100.37412829077464,100.37412829077464,0.0,1,0.008959741371471801,0.004613492931357539,1172.921850575891,0.20082086841687752,0.20082086841687752,1.0022469085576764,0.9977530914423235,1.0022469085576764,100.33322142180054,100.33322142180054,0.0
-0.0168,0.9832,1.0168,171.88,169.44883333333334,True,0.9832,99.2236506489942,100.9190913842496,-1.6954407352554028,1,0.9832,98.68784293548961,100.37412829077464,-1.6862853552850225,1,-0.016942720730312024,0.008704134686480073,279.3117011898873,0.04782081277650124,0.04782081277650124,0.9966262094105964,1.0033737905894036,0.9966262094105964,99.99471814356313,100.33322142180054,-0.3385032782374111
-0.0017,0.9983,1.0017,171.58,169.48356666666666,True,0.9983,99.0549704428909,100.9190913842496,-1.864120941358692,1,0.9983,98.52007360249928,100.37412829077464,-1.8540546882753546,1,-0.0017014466397575704,0.007947207617119765,263.79496224777665,0.04516410400575672,0.04516410400575672,0.9999187046182799,1.00008129538172,0.9999187046182799,99.98658903478166,100.33322142180054,-0.3466323870188859
-0.0064,0.9936,1.0064,170.47,169.50969999999998,True,0.9936,98.42101863205642,100.9190913842496,-2.498072752193181,1,0.9936,97.88954513144328,100.37412829077464,-2.4845831593313505,1,-0.006420567802922695,0.007572395133630395,126.81588626234645,0.021711140471559864,0.021711140471559864,0.9997109497343631,1.0002890502656367,0.9997109497343631,99.95768788466103,100.33322142180054,-0.37553353713951765
0.0111,1.0111,0.9889,172.37,169.54433333333336,True,1.0111,99.51349193887225,100.9190913842496,-1.405599445377348,1,1.0111,98.97611908240232,100.37412829077464,-1.398009208372315,1,0.011038847115216448,0.008308622549765311,340.08846228626237,0.05822674632120913,0.05822674632120913,1.0002409936592342,0.9997590063407656,1.0002409936592342,99.98177705363295,100.33322142180054,-0.3514443681675914
-0.0133,0.9867,1.0133,170.08,169.57,True,0.9867,98.18996249608524,100.9190913842496,-2.729128888164354,1,0.9867,97.65973669860638,100.37412829077464,-2.714391592168255,1,-0.013389237119016052,0.008824301731309958,57.79494123489251,0.009893673495823652,0.009893673495823652,0.9992255842739279,1.000774415726072,0.9992255842739279,99.90434959316198,100.33322142180054,-0.4288718286385631
