YearMonth,returns+1
2007-05,-0.0177
2007-06,0.0164
2007-07,-0.0399
2007-08,0.0766
2007-09,0.0296
2007-10,-0.0342
2007-11,0.0435
2007-12,0.0396
2008-01,0.1208
2008-02,-0.0646
2008-03,0.0345
2008-04,0.0259
2008-05,0.0892
2008-06,-0.1199
2008-07,-0.0742
2008-08,-0.1165
2008-09,-0.2134
2008-10,-0.0699
2008-11,-0.0449
2008-12,-0.0539
2009-01,-0.0446
2009-02,0.0358
2009-03,0.0072
2009-04,0.1299
2009-05,-0.0192
2009-06,0.0321
2009-07,-0.006
2009-08,0.0156
2009-09,0.0327
2009-10,0.0351
2009-11,0.0197
2009-12,-0.0728
2010-01,0.037
2010-02,-0.0126
2010-03,0.0193
2010-04,-0.0693
2010-05,0.0031
2010-06,0.0676
2010-07,-0.0256
2010-08,0.0725
2010-09,0.0497
2010-10,-0.0037
2010-11,0.1067
2010-12,0.0099
2011-01,0.0131
2011-02,0.0206
2011-03,0.0346
2011-04,-0.0506
2011-05,-0.0505
2011-06,0.0296
2011-07,0.0099
2011-08,-0.1474
2011-09,0.0662
2011-10,-0.0222
2011-11,-0.0375
2011-12,0.0247
2012-01,0.0269
2012-02,-0.0414
2012-03,-0.0043
2012-04,-0.0914
2012-05,0.0549
2012-06,0.0646
2012-07,0.0129
2012-08,0.017
2012-09,-0.0388
2012-10,0.0004
2012-11,-0.0261
2012-12,0.0239
2013-01,-0.0409
2013-02,0.0067
2013-03,-0.028
2013-04,-0.0225
2013-05,-0.0472
2013-06,0.0136
2013-07,0.034
2013-08,-0.0256
2013-09,-0.0148
2013-10,-0.0081
2013-11,0.0123
2013-12,0.0029
2014-01,0.0623
2014-02,0.0041
2014-03,0.0243
2014-04,-0.0288
2014-05,0.0059
2014-06,-0.0499
2014-07,-0.0105
2014-08,-0.0623
2014-09,-0.0081
2014-10,-0.0407
2014-11,-0.0763
2014-12,-0.0334
2015-01,0.0257
2015-02,-0.0514
2015-03,0.0573
2015-04,-0.027
2015-05,0.0173
2015-06,-0.1062
2015-07,-0.0093
2015-08,-0.0342
2015-09,-0.0045
2015-10,-0.0726
2015-11,-0.0311
2015-12,-0.017
2016-01,-0.0165
2016-02,0.0379
2016-03,0.0849
2016-04,-0.0021
2016-05,0.0411
2016-06,-0.0513
2016-07,-0.0179
2016-08,0.031
2016-09,-0.0052
2016-10,0.013
2016-11,0.0176
2016-12,0.0009
2017-01,0.0017
2017-02,-0.0272
2017-03,-0.0157
2017-04,-0.0141
2017-05,-0.0027
2017-06,0.0217
2017-07,0.0031
2017-08,-0.0023
2017-09,0.0205
2017-10,-0.0056
2017-11,0.0288
2017-12,0.0185
2018-01,-0.0185
2018-02,-0.0076
2018-03,0.0242
2018-04,0.0125
2018-05,-0.0364
2018-06,-0.023
2018-07,-0.0194
2018-08,0.0175
2018-09,-0.0236
2018-10,-0.0076
2018-11,-0.0708
2018-12,0.0523
2019-01,0.0082
2019-02,-0.0037
2019-03,-0.0063
2019-04,-0.0356
2019-05,0.0251
2019-06,-0.0087
2019-07,-0.0248
2019-08,0.0101
2019-09,0.0187
2019-10,-0.0268
2019-11,0.049
2019-12,-0.0748
2020-01,-0.0515
2020-02,-0.1285
2020-03,-0.0155
2020-04,0.0433
2020-05,0.0227
2020-06,0.057
2020-07,0.0675
2020-08,-0.0336
2020-09,0.014
2020-10,0.035
2020-11,0.0497
2020-12,0.0262
2021-01,0.0647
2021-02,-0.0215
2021-03,0.0829
2021-04,0.0273
2021-05,0.0185
2021-06,0.0183
2021-07,-0.003
2021-08,0.0497
2021-09,0.0258
2021-10,-0.0731
2021-11,0.0352
2021-12,0.0877
2022-01,0.062
2022-02,0.0861
2022-03,0.0408
2022-04,0.0144
2022-05,-0.1088
2022-06,0.0408
2022-07,-0.0015
2022-08,-0.0835
2022-09,0.0167
2022-10,0.0238
2022-11,-0.028
2022-12,-0.0089
2023-01,-0.0505
2023-02,-0.0061
2023-03,-0.0113
2023-04,-0.0608
2023-05,0.0359
2023-06,0.0578
2023-07,-0.0122
2023-08,-0.0112
2023-09,-0.0021
2023-10,-0.0269
2023-11,-0.031
2023-12,-0.0009
2024-01,-0.0189
2024-02,0.0289
2024-03,0.022
2024-04,0.013
